Index,Date,Passenger Rail Passengers,Passenger Rail Passenger Miles,Passenger Rail Total Train Miles,Passenger Rail Employee Hours Worked,Passenger Rail Yard Switching Miles,Passenger Rail Total Reports
0,1/1/1947 0:00,,,,,,
1,2/1/1947 0:00,,,,,,
2,3/1/1947 0:00,,,,,,
3,4/1/1947 0:00,,,,,,
4,5/1/1947 0:00,,,,,,
5,6/1/1947 0:00,,,,,,
6,7/1/1947 0:00,,,,,,
7,8/1/1947 0:00,,,,,,
8,9/1/1947 0:00,,,,,,
9,10/1/1947 0:00,,,,,,
10,11/1/1947 0:00,,,,,,
11,12/1/1947 0:00,,,,,,
12,1/1/1948 0:00,,,,,,
13,2/1/1948 0:00,,,,,,
14,3/1/1948 0:00,,,,,,
15,4/1/1948 0:00,,,,,,
16,5/1/1948 0:00,,,,,,
17,6/1/1948 0:00,,,,,,
18,7/1/1948 0:00,,,,,,
19,8/1/1948 0:00,,,,,,
20,9/1/1948 0:00,,,,,,
21,10/1/1948 0:00,,,,,,
22,11/1/1948 0:00,,,,,,
23,12/1/1948 0:00,,,,,,
24,1/1/1949 0:00,,,,,,
25,2/1/1949 0:00,,,,,,
26,3/1/1949 0:00,,,,,,
27,4/1/1949 0:00,,,,,,
28,5/1/1949 0:00,,,,,,
29,6/1/1949 0:00,,,,,,
30,7/1/1949 0:00,,,,,,
31,8/1/1949 0:00,,,,,,
32,9/1/1949 0:00,,,,,,
33,10/1/1949 0:00,,,,,,
34,11/1/1949 0:00,,,,,,
35,12/1/1949 0:00,,,,,,
36,1/1/1950 0:00,,,,,,
37,2/1/1950 0:00,,,,,,
38,3/1/1950 0:00,,,,,,
39,4/1/1950 0:00,,,,,,
40,5/1/1950 0:00,,,,,,
41,6/1/1950 0:00,,,,,,
42,7/1/1950 0:00,,,,,,
43,8/1/1950 0:00,,,,,,
44,9/1/1950 0:00,,,,,,
45,10/1/1950 0:00,,,,,,
46,11/1/1950 0:00,,,,,,
47,12/1/1950 0:00,,,,,,
48,1/1/1951 0:00,,,,,,
